,State,Waiting for Adoption 2010,Waiting for Adoption 2011,Waiting for Adoption 2012,Waiting for Adoption 2013,Waiting for Adoption 2014,Waiting for Adoption 2015,Waiting for Adoption 2016,Waiting for Adoption 2017,Waiting for Adoption 2018,Waiting for Adoption 2019,Parental Rights Terminated 2010,Parental Rights Terminated 2011,Parental Rights Terminated 2012,Parental Rights Terminated 2013,Parental Rights Terminated 2014,Parental Rights Terminated 2015,Parental Rights Terminated 2016,Parental Rights Terminated 2017,Parental Rights Terminated 2018,Parental Rights Terminated 2019,Adopted 2010,Adopted 2011,Adopted 2012,Adopted 2013,Adopted 2014,Adopted 2015,Adopted 2016,Adopted 2017,Adopted 2018,Adopted 2019,Served 2010,Served 2011,Served 2012,Served 2013,Served 2014,Served 2015,Served 2016,Served 2017,Served 2018,Served 2019
0,Alabama,1271,1297,1156,1084,1044,1020,1075,1268,1346,1688,757,701,543,615,573,461,421,533,514,523,606,447,587,532,544,512,503,504,712,738,8119,8395,7907,7322,7520,7989,8381,9012,9512,9741
1,Alaska,696,720,805,866,704,783,949,1032,1006,951,381,389,387,399,366,356,425,432,430,375,336,293,309,328,367,357,312,366,353,396,2750,2669,2727,2842,3109,3659,3868,4085,4032,4216
2,Arizona,2673,2822,2914,3579,3641,4060,4713,4749,4216,3876,2174,2220,2299,2692,2841,3006,3379,3295,2966,2687,2045,2275,2275,2522,3090,3236,3654,4298,3926,3373,17110,18142,21267,23854,26253,28557,29090,26897,23909,22689
3,Arkansas,1604,1414,1023,994,1034,1122,1198,1330,1351,1182,812,742,543,642,757,757,795,795,809,787,597,591,703,691,743,740,758,971,1001,984,7474,7506,7513,7411,7211,7759,8285,8545,7811,7230
4,California,14892,14630,13136,15667,14096,14180,14689,15097,14866,14436,7230,6928,6021,6562,6379,6617,6712,7107,7098,7262,6459,5710,5938,5541,5471,6079,6542,6524,6966,6981,92254,86563,84820,86255,87087,87484,85896,80408,78215,77889
5,Colorado,1246,1098,917,896,1008,926,1038,953,997,1007,772,557,508,470,499,531,568,514,499,516,983,934,905,782,769,820,839,948,910,919,12866,11990,11184,10542,10309,10449,10630,10577,10283,9742
6,Connecticut,1261,1344,1385,1166,1343,1197,1111,1157,1235,1166,614,577,732,608,405,380,380,363,381,352,687,611,490,497,506,573,529,488,497,633,7127,7025,6068,5821,5407,5356,5602,5662,5785,5980
7,Delaware,253,244,243,218,202,223,254,281,252,163,149,145,148,113,118,120,115,130,121,95,67,95,91,112,84,79,99,108,116,129,1194,1266,1286,1160,980,1006,1163,1190,1089,930
8,District of Columbia,418,359,313,276,251,233,217,190,181,202,22,98,79,61,50,33,7,6,10,5,129,106,114,110,107,106,110,91,100,98,2834,2212,1902,1602,1407,1294,1248,1131,1068,1061
9,Florida,5022,4994,5129,3465,5558,5945,6870,7977,9144,9283,2752,2943,3177,3193,3643,3805,4270,4819,5727,5850,3391,2945,3294,3417,3267,3431,3573,3831,4455,4714,33322,34013,34868,33290,33245,36843,39243,39735,39909,39135
10,Georgia,1690,1567,1648,1799,1983,2544,2998,3404,3633,3456,822,834,888,813,1171,1056,1001,1876,1900,2028,1196,1071,915,1031,887,912,1121,1401,1469,1668,13333,13203,13618,13526,15011,17447,19312,20037,21050,20176
11,Hawaii,351,296,223,154,187,142,177,247,290,278,312,267,196,137,174,119,150,236,276,267,216,198,187,160,121,176,129,152,189,206,2466,2240,2178,2065,2140,2338,2511,2697,2730,2875
12,Idaho,389,334,278,328,322,318,390,287,532,557,297,262,186,215,212,216,273,269,345,338,313,259,273,206,218,223,185,258,245,328,2797,2651,2410,2437,2435,2323,2594,2687,2956,3041
13,Illinois,2953,3151,2813,2988,2903,2806,2966,2848,2710,2767,2611,1963,1689,1766,1638,1653,2522,2469,2292,2215,1214,1217,1803,1356,1616,1788,1546,1777,1754,1747,23854,21606,21250,20684,21009,20903,19998,19722,21118,23032
14,Indiana,3192,2886,2451,2437,2731,2965,3773,4418,4778,4302,1980,1397,1053,970,1023,1226,1197,1276,1573,1606,1458,1556,1713,961,850,1152,1536,1964,2016,2489,21157,19378,18292,18841,21258,24935,29315,32081,30693,27206
15,Iowa,1068,1088,961,964,1050,1014,1111,1137,1206,1358,812,861,772,731,792,734,837,863,924,1012,801,864,1032,917,878,1017,992,1006,1074,1228,11036,10709,10441,10570,10032,9806,8930,9388,9866,9774
16,Kansas,1825,1817,1853,1843,2116,2340,2392,2583,2616,2376,1291,1265,1192,1210,1217,1286,1481,1667,1811,1695,694,781,764,674,695,783,870,674,936,1227,9152,9319,9473,9845,10095,10597,10930,11138,11764,12064
17,Kentucky,1951,1918,1999,2224,2420,2579,2606,2695,2834,3152,1232,1095,1173,1179,1243,1439,1457,1665,1594,1943,754,824,784,797,909,961,1104,1128,1124,1368,12115,11767,11864,12173,12631,12546,13027,13555,15348,15783
18,Louisiana,1091,1162,1089,961,1033,1220,1297,1378,1395,1337,727,809,674,554,593,544,577,678,669,639,641,641,655,731,622,662,727,766,905,895,8101,8069,7513,7384,7910,8293,8145,7904,8020,7237
19,Maine,575,511,480,564,590,666,647,576,482,510,490,449,404,501,510,567,556,502,428,412,276,296,291,214,295,328,399,456,395,294,2387,2081,2179,2453,2652,2763,2758,2651,2651,2997
20,Maryland,883,772,559,498,464,508,468,481,385,370,236,238,164,145,129,151,162,159,147,142,644,539,455,355,344,294,361,348,353,291,9747,8627,7931,7061,6429,6045,6017,6119,6210,5789
21,Massachusetts,2758,2675,2469,2492,2771,3051,3481,3656,3382,3646,1518,1495,1329,1126,1178,1219,1251,1427,1671,1722,725,724,754,799,589,623,669,657,826,998,14919,14083,13640,13652,15002,15947,16679,16752,16457,15801
22,Michigan,5235,4237,3586,3337,3457,3408,3416,3646,3898,3818,4317,3613,3131,2819,3058,3119,3083,3220,3389,3374,2597,2506,2559,2374,2184,1772,2078,1970,1991,2161,25710,23587,22388,22261,21176,19402,18194,18230,18105,17840
23,Minnesota,1074,1143,1191,1219,1188,1285,1541,1990,2026,1951,1003,961,1008,1110,1126,1225,1457,1848,1852,1812,627,572,520,583,642,735,899,946,1284,1347,10782,10711,10729,11114,11564,12961,14581,15876,16042,15014
24,Mississippi,843,880,955,1000,1184,1437,1553,1867,1730,1610,451,459,388,353,356,412,445,154,103,519,355,358,425,352,314,312,400,364,431,719,5887,5955,5999,6119,6766,7371,8396,8330,7882,7039
25,Missouri,1992,2056,2067,2162,2325,2513,2584,2825,2783,2745,1008,976,854,862,764,698,764,840,864,895,1170,1212,1228,1233,1291,1357,1591,1541,1798,1820,13744,14639,15460,16191,17760,18678,19332,19030,19218,19327
26,Montana,495,460,403,498,587,580,633,831,977,1018,350,314,292,369,447,385,439,556,687,672,191,238,225,165,234,310,260,274,396,482,2614,2771,3066,3397,3602,4232,4924,5682,6098,6050
27,Nebraska,768,831,904,705,692,709,715,771,817,689,460,486,555,407,463,455,463,451,497,453,437,413,417,586,461,533,483,546,564,560,8552,8362,8055,7749,6339,5956,6186,6564,5962,5643
28,Nevada,2094,1970,1880,1957,2067,1999,1619,1672,1664,1667,1087,938,859,721,691,695,692,756,779,885,644,821,776,729,729,799,796,740,760,805,7635,7525,7705,8029,7793,7634,7822,7553,7497,7722
29,New Hampshire,227,167,182,189,167,177,168,214,270,253,64,25,21,21,40,76,78,109,180,125,173,144,96,110,120,118,87,108,211,278,1368,1216,1166,1282,1465,1597,1810,2039,2140,2111
30,New Jersey,2464,2294,2227,2443,2593,2698,2567,2479,2267,1895,969,689,736,762,869,959,990,963,998,792,1275,1089,1023,927,1024,1072,1185,1106,1054,1162,12080,11215,11582,12043,11847,11617,11019,10131,9382,8116
31,New Mexico,777,786,834,880,990,1134,1263,1424,1205,1194,464,441,411,518,523,507,531,812,597,621,420,351,345,310,315,295,306,311,297,336,3716,3637,3558,3746,4174,4126,4325,4479,4299,3933
32,New York,6603,6417,6061,5843,5463,5271,4832,4578,4233,3806,3348,3266,2925,2811,2694,2605,2386,2243,2134,1756,2205,2214,2182,2184,1997,1933,1949,1762,1697,1648,40026,37344,34541,33526,32276,27890,27314,26316,24991,24054
33,North Carolina,2427,2234,2071,2172,2416,2739,2943,2929,2819,2861,1208,1126,1011,975,1123,1210,1284,1434,1255,1211,1615,1463,1329,1222,1176,1311,1501,1528,1522,1546,13607,13404,13163,13401,14345,15011,15687,15501,15241,15676
34,North Dakota,227,230,211,237,262,296,355,396,429,421,131,116,116,135,153,172,242,284,332,333,145,119,155,104,96,133,132,162,172,197,1913,1769,1887,2012,2178,2332,2388,2461,2613,2518
35,Ohio,3013,2789,2655,2976,2942,3010,3201,3373,3579,3677,2687,2484,2277,2591,2644,2643,2730,2936,3117,3290,1438,1420,1250,1244,1406,1334,1449,1538,1566,1665,21025,21540,21233,21435,21859,22533,23646,25195,26744,27440
36,Oklahoma,2869,2961,2805,3238,3973,4288,4366,4075,4018,3787,1913,1872,1585,1754,2260,2255,2399,2091,1937,1830,1628,1294,1533,1286,1382,2159,2487,2593,2238,2086,13056,12639,13622,15077,16345,16841,16273,15139,13962,13108
37,Oregon,1827,1830,1873,1854,1897,1757,1666,1613,1792,1657,1068,1254,1385,1308,1586,1394,1236,1197,1256,1258,780,657,683,768,847,835,768,707,679,792,13263,12991,12515,12226,11062,10899,10816,11149,10912,10342
38,Pennsylvania,2909,2066,1924,1909,1896,2425,3092,3711,3763,3411,1571,1277,1258,1246,1210,1403,1612,2068,2256,1958,2365,2013,1881,1892,1849,1832,1917,2077,2628,2849,32641,25151,23523,22955,24293,25388,25822,26552,26497,25584
39,Rhode Island,309,267,222,250,212,303,296,317,316,358,177,148,129,113,103,114,110,108,102,107,184,201,191,162,202,211,279,250,254,184,3466,3209,2935,2902,2973,2948,2868,2863,3109,3058
40,South Carolina,1699,1415,1336,1226,1211,1213,1344,1470,1591,1568,857,674,585,599,564,540,558,527,594,765,529,588,776,506,449,403,433,487,435,529,8290,7354,6522,5989,6520,7038,7413,7579,8047,8300
41,South Dakota,418,376,397,354,336,308,361,365,371,396,337,315,313,281,292,256,284,313,345,358,133,168,126,177,159,121,110,181,183,211,2892,2836,2543,2296,2187,2179,2377,2571,2705,2733
42,Tennessee,789,792,949,1077,1178,1268,1301,1322,1625,1743,689,638,779,892,951,1056,1112,1067,999,1014,972,772,813,1160,1162,1112,1225,1260,1248,1166,11026,11289,12225,12844,11929,12188,12480,13246,14170,14371
43,Texas,13108,13481,13154,12991,13238,12643,12377,13443,13822,12932,8748,9120,9001,8807,8825,8879,8330,8549,8888,8578,4709,4718,5039,5443,5221,5457,5723,5361,5748,6105,42658,45826,46505,46286,46777,47492,48963,50331,52361,51097
44,Utah,553,567,570,612,629,594,630,802,728,684,307,337,307,421,364,295,304,386,387,361,574,577,562,587,605,695,632,665,818,639,4928,4855,4897,4881,5031,5110,4997,5062,4874,4572
45,Vermont,180,196,226,213,232,304,387,329,324,331,137,135,159,171,198,193,244,240,233,237,161,134,172,179,164,189,216,287,262,260,1579,1546,1566,1604,1721,2045,2072,2013,2045,1985
46,Virginia,1562,1372,1519,1503,1532,1708,1886,1826,1766,1934,1267,954,1097,1052,1101,1125,1322,1307,1091,1236,747,755,639,709,632,562,627,801,879,769,8555,7836,7507,7182,7393,7479,7782,7635,7754,7612
47,Washington,3089,2783,2860,3101,3213,3075,3278,3569,3733,3478,1741,1340,1324,1489,1625,1567,1575,1730,1966,1774,1633,1583,1227,1328,1362,1484,1387,1345,1331,1509,16077,15055,14685,15222,16154,16170,16252,16778,16821,16582
48,West Virginia,1241,1474,1407,1364,1388,1456,2147,2403,2376,2577,1013,1164,1039,1005,1045,1031,1455,1711,1752,1928,662,698,632,877,852,893,940,1069,1399,1675,7085,7505,7394,7906,8069,8417,9440,10441,11567,12026
49,Wisconsin,1159,1163,1129,1153,1148,1267,1389,1397,1404,1537,556,643,613,592,586,665,764,726,663,694,755,717,761,800,735,643,669,692,755,711,11035,10833,10785,10852,11158,11451,11621,12226,12539,12278
50,Wyoming,111,130,115,85,81,69,61,69,122,155,55,65,57,26,13,20,22,17,42,28,75,73,81,86,75,74,89,82,75,120,1933,1843,1779,1890,1879,2082,2011,2062,2098,2075
51,Total,108124,104466,99557,102011,105948,109776,116391,123450,125285,122216,65974,62065,58372,58912,61185,62230,65447,69724,71480,71335,53431,50845,51978,50816,50657,53536,57176,59469,62997,66035,663257,637957,629866,633207,645767,663406,680433,685007,686151,672594
