FPNeedMet16,FPServed16,FPU20Served16,FPCenters15,FPExpend15,Abortion,Childcare1213,PaidLeave14,ADWaiting16,ADAdopted16,ADServed16,ADPropAdopted16,ADPropTerm16,ParentalLeave,PropUninsured16,MaternalDeaths1216
28,97600,20300,187,69742000,significantly restricted,1.42,0.0,1075,503,8381,0.4679069767441861,0.3916279069767442,10,0.8758750586715557,36.4
54,21640,4750,157,10158000,neither,1.37,0.0,949,312,3868,0.3287671232876712,0.4478398314014753,20,0.8397385915492958,12.4
19,88140,16500,232,57560000,significantly restricted,0.97,0.0,4713,3654,29090,0.7753023551877785,0.7169531084235095,20,0.8817154193350819,27.3
23,50960,10610,163,11397000,significantly restricted,1.54,0.0,1198,758,8285,0.6327212020033389,0.6636060100166945,10,0.8992607701062643,37.5
64,1618010,252840,1697,454706000,protected,0.95,2.0,14689,6542,85896,0.4453672816393219,0.45694056777180203,135,0.9117393148805834,4.0
35,115490,23720,221,29252000,neither,1.11,0.0,1038,839,10630,0.8082851637764933,0.5472061657032755,20,0.9141417566241988,11.5
38,68130,14160,92,21462000,protected,1.07,0.67,1111,529,5602,0.4761476147614762,0.342034203420342,85,0.941237493222148,10.5
30,16080,4510,41,4646000,protected,1.21,0.0,254,99,1163,0.38976377952755903,0.452755905511811,10,0.9340452563266148,
16,214450,40050,430,42764000,neither,1.34,0.0,6870,3573,39243,0.5200873362445415,0.6215429403202329,20,0.8354173261281989,22.3
26,194910,42860,383,35665000,neither,1.57,0.0,2998,1121,19312,0.3739159439626418,0.3338892595063376,10,0.8341818883469613,48.4
21,13830,2560,44,1918000,protected,0.53,0.67,177,129,2511,0.7288135593220338,0.8474576271186439,100,0.9561870339803062,12.9
18,20880,4340,104,12886000,significantly restricted,0.57,0.0,390,185,2594,0.4743589743589744,0.7,10,0.8603192185897884,23.8
24,190230,39180,340,58133000,protected,1.32,0.0,2966,1546,19998,0.5212407282535402,0.8503034389750506,35,0.9225290842105184,14.7
17,76100,15470,138,41063000,neither,0.56,0.0,3773,1536,29315,0.4071031009806521,0.3172541743970315,20,0.9047118846785543,43.6
27,52150,11300,88,18472000,neither,1.49,0.0,1111,992,8930,0.8928892889288929,0.7533753375337534,30,0.950262732550832,18.3
18,34380,6420,128,25112000,significantly restricted,1.14,0.0,2392,870,10930,0.3637123745819398,0.6191471571906354,10,0.8886873410904466,18.9
23,69620,15310,211,82039000,significantly restricted,1.5,0.0,2606,1104,13027,0.4236377590176516,0.5590943975441289,20,0.9424944054834088,22.9
21,71050,13610,195,34361000,significantly restricted,1.43,0.0,1297,727,8145,0.5605242868157286,0.4448727833461835,60,0.8685015396445482,58.1
34,25520,5610,106,6066000,protected,1.28,0.0,647,399,2758,0.616692426584235,0.8593508500772797,75,0.9002644419337809,18.9
32,97980,18600,140,58363000,protected,1.4,0.0,468,361,6017,0.7713675213675214,0.3461538461538461,10,0.9312731469970084,19.7
25,90830,20020,229,25984000,neither,1.04,0.67,3481,669,16679,0.1921861534041942,0.35937948865268604,65,0.9724853494148188,8.4
16,105650,23910,271,42383000,significantly restricted,1.23,0.0,3416,2078,18194,0.6083138173302107,0.9025175644028104,20,0.9380914272368428,19.4
25,76550,16520,128,23991000,neither,1.18,0.0,1541,899,14581,0.5833874107722258,0.945489941596366,70,0.9554316960465928,11.8
23,52870,13620,210,23234000,significantly restricted,0.77,0.0,1553,400,8396,0.25756600128783,0.2865421764327109,10,0.8392466651185876,20.8
21,84920,19960,218,48244000,significantly restricted,1.11,0.0,2584,1591,19332,0.6157120743034056,0.29566563467492263,10,0.8839876231995378,34.6
36,24050,5630,85,8138000,neither,0.6,0.0,633,260,4924,0.4107424960505529,0.693522906793049,35,0.8972115803007947,21.0
24,29960,4830,56,8026000,neither,1.14,0.0,715,483,6186,0.6755244755244755,0.6475524475524476,10,0.8954484921967182,18.2
14,26430,4740,59,17674000,protected,1.06,0.0,1619,796,7822,0.4916615194564546,0.42742433600988267,10,0.8630115623677234,8.4
29,18950,3600,39,2058000,neither,0.51,0.0,168,87,1810,0.5178571428571429,0.4642857142857143,40,0.9247071878597032,
27,117930,18740,121,14402000,neither,1.42,1.67,2567,1185,11019,0.4616283599532528,0.3856641994546163,85,0.9048701115830312,38.1
35,52620,11350,234,6108000,significantly restricted,1.37,0.0,1263,306,4325,0.24228028503562946,0.4204275534441805,25,0.8850319157728251,21.5
37,433960,83050,557,113086000,protected,1.38,1.0,4832,1949,27314,0.40335264900662254,0.4937913907284768,40,0.9309629715987049,19.2
16,116640,19440,270,92753000,neither,1.45,0.0,2943,1501,15687,0.5100237852531431,0.436289500509684,10,0.8659926986622499,18.6
23,10790,2310,42,1726000,significantly restricted,0.63,0.0,355,132,2388,0.37183098591549296,0.6816901408450704,20,0.930533838597524,20.1
20,153080,34740,302,52992000,significantly restricted,0.91,0.0,3201,1449,23646,0.4526710402999063,0.8528584817244611,35,0.9367163952966132,19.2
30,84710,21200,213,24830000,significantly restricted,1.78,0.0,4366,2487,16273,0.5696289509848832,0.5494732020155749,10,0.8193702967975114,21.1
40,107100,19480,209,27092000,protected,1.2,0.33,1666,768,10816,0.4609843937575029,0.7418967587034814,95,0.92456795498025,12.8
32,233560,50280,309,74949000,neither,1.07,0.33,3092,1917,25822,0.6199870633893921,0.5213454075032341,10,0.936878993401442,18.6
41,27080,6350,39,762000,protected,1.31,1.33,296,279,2868,0.9425675675675677,0.3716216216216216,70,0.9530439821875192,22.1
26,89700,16970,180,11553000,neither,1.33,0.0,1344,433,7413,0.3221726190476191,0.41517857142857145,30,0.8707191780821918,27.9
21,11200,2560,89,2458000,neither,0.67,0.0,361,110,2377,0.3047091412742382,0.7867036011080333,10,0.8914402530152071,24.5
22,104170,22780,262,57367000,neither,1.43,0.0,1301,1225,12480,0.9415833973866256,0.8547271329746349,40,0.8881076206955377,26.7
21,414860,83800,453,157726000,neither,1.07,0.0,12377,5723,48963,0.4623899167811263,0.6730225418114244,10,0.7847763281967697,34.5
55,38420,8730,83,6759000,neither,0.56,0.0,630,632,4997,1.0031746031746032,0.4825396825396826,20,0.8962636751658649,16.5
16,19750,3960,56,896000,protected,1.34,0.0,387,216,2072,0.5581395348837209,0.6304909560723514,75,0.9552428113158687,
31,76520,12050,241,63923000,neither,1.1,0.0,1886,627,7782,0.3324496288441145,0.7009544008483564,10,0.8943099976812047,20.0
66,135400,27210,257,34585000,protected,1.25,0.33,3278,1387,16252,0.4231238560097621,0.4804758999389872,85,0.9303973571207956,13.8
24,77660,16770,202,4026000,significantly restricted,1.69,0.0,2147,940,9440,0.4378202142524453,0.6776897997205403,10,0.9392880947733959,12.9
26,83110,19980,132,59224000,significantly restricted,1.33,0.0,1389,669,11621,0.4816414686825054,0.5500359971202304,45,0.9401799897178408,13.7
29,8970,2340,34,2196000,neither,0.63,0.0,61,89,2011,1.459016393442623,0.3606557377049181,10,0.8644239853069751,26.3
