STATE,NAME20,STATEFP20,COUNTYFP20,GEOID20
North Carolina,Alamance,37,001,37001
North Carolina,Alexander,37,003,37003
North Carolina,Alleghany,37,005,37005
North Carolina,Anson,37,007,37007
North Carolina,Ashe,37,009,37009
North Carolina,Avery,37,011,37011
North Carolina,Beaufort,37,013,37013
North Carolina,Bertie,37,015,37015
North Carolina,Bladen,37,017,37017
North Carolina,Brunswick,37,019,37019
North Carolina,Buncombe,37,021,37021
North Carolina,Burke,37,023,37023
North Carolina,Cabarrus,37,025,37025
North Carolina,Caldwell,37,027,37027
North Carolina,Camden,37,029,37029
North Carolina,Carteret,37,031,37031
North Carolina,Caswell,37,033,37033
North Carolina,Catawba,37,035,37035
North Carolina,Chatham,37,037,37037
North Carolina,Cherokee,37,039,37039
North Carolina,Chowan,37,041,37041
North Carolina,Clay,37,043,37043
North Carolina,Cleveland,37,045,37045
North Carolina,Columbus,37,047,37047
North Carolina,Craven,37,049,37049
North Carolina,Cumberland,37,051,37051
North Carolina,Currituck,37,053,37053
North Carolina,Dare,37,055,37055
North Carolina,Davidson,37,057,37057
North Carolina,Davie,37,059,37059
North Carolina,Duplin,37,061,37061
North Carolina,Durham,37,063,37063
North Carolina,Edgecombe,37,065,37065
North Carolina,Forsyth,37,067,37067
North Carolina,Franklin,37,069,37069
North Carolina,Gaston,37,071,37071
North Carolina,Gates,37,073,37073
North Carolina,Graham,37,075,37075
North Carolina,Granville,37,077,37077
North Carolina,Greene,37,079,37079
North Carolina,Guilford,37,081,37081
North Carolina,Halifax,37,083,37083
North Carolina,Harnett,37,085,37085
North Carolina,Haywood,37,087,37087
North Carolina,Henderson,37,089,37089
North Carolina,Hertford,37,091,37091
North Carolina,Hoke,37,093,37093
North Carolina,Hyde,37,095,37095
North Carolina,Iredell,37,097,37097
North Carolina,Jackson,37,099,37099
North Carolina,Johnston,37,101,37101
North Carolina,Jones,37,103,37103
North Carolina,Lee,37,105,37105
North Carolina,Lenoir,37,107,37107
North Carolina,Lincoln,37,109,37109
North Carolina,McDowell,37,111,37111
North Carolina,Macon,37,113,37113
North Carolina,Madison,37,115,37115
North Carolina,Martin,37,117,37117
North Carolina,Mecklenburg,37,119,37119
North Carolina,Mitchell,37,121,37121
North Carolina,Montgomery,37,123,37123
North Carolina,Moore,37,125,37125
North Carolina,Nash,37,127,37127
North Carolina,New Hanover,37,129,37129
North Carolina,Northampton,37,131,37131
North Carolina,Onslow,37,133,37133
North Carolina,Orange,37,135,37135
North Carolina,Pamlico,37,137,37137
North Carolina,Pasquotank,37,139,37139
North Carolina,Pender,37,141,37141
North Carolina,Perquimans,37,143,37143
North Carolina,Person,37,145,37145
North Carolina,Pitt,37,147,37147
North Carolina,Polk,37,149,37149
North Carolina,Randolph,37,151,37151
North Carolina,Richmond,37,153,37153
North Carolina,Robeson,37,155,37155
North Carolina,Rockingham,37,157,37157
North Carolina,Rowan,37,159,37159
North Carolina,Rutherford,37,161,37161
North Carolina,Sampson,37,163,37163
North Carolina,Scotland,37,165,37165
North Carolina,Stanly,37,167,37167
North Carolina,Stokes,37,169,37169
North Carolina,Surry,37,171,37171
North Carolina,Swain,37,173,37173
North Carolina,Transylvania,37,175,37175
North Carolina,Tyrrell,37,177,37177
North Carolina,Union,37,179,37179
North Carolina,Vance,37,181,37181
North Carolina,Wake,37,183,37183
North Carolina,Warren,37,185,37185
North Carolina,Washington,37,187,37187
North Carolina,Watauga,37,189,37189
North Carolina,Wayne,37,191,37191
North Carolina,Wilkes,37,193,37193
North Carolina,Wilson,37,195,37195
North Carolina,Yadkin,37,197,37197
North Carolina,Yancey,37,199,37199
