"U.S. Department of Health and Human Services, Administration for Children and Families,",,,,,,,,,,
"Administration on Children, Youth and Families, Children's Bureau",,,,,,,,,,
Adoption and Foster Care Analysis and Reporting System (AFCARS),,,,,,,,,,
"Data As Of June 23, 2020",,,,,,,,,,
,,,,,,,,,,
"Numbers of Children Waiting for Adoption, by State",,,,,,,,,,
FY 2010 -FY 2019,,,,,,,,,,
State,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
Alabama,"1,271","1,297","1,156","1,084","1,044","1,020","1,075","1,268","1,346","1,688"
Alaska,696,720,805,866,704,783,949,"1,032","1,006",951
Arizona,"2,673","2,822","2,914","3,579","3,641","4,060","4,713","4,749","4,216","3,876"
Arkansas,"1,604","1,414","1,023",994,"1,034","1,122","1,198","1,330","1,351","1,182"
California,"14,892","14,630","13,136","15,667","14,096","14,180","14,689","15,097","14,866","14,436"
Colorado,"1,246","1,098",917,896,"1,008",926,"1,038",953,997,"1,007"
Connecticut,"1,261","1,344","1,385","1,166","1,343","1,197","1,111","1,157","1,235","1,166"
Delaware,253,244,243,218,202,223,254,281,252,163
District of Columbia,418,359,313,276,251,233,217,190,181,202
Florida,"5,022","4,994","5,129","3,465","5,558","5,945","6,870","7,977","9,144","9,283"
Georgia,"1,690","1,567","1,648","1,799","1,983","2,544","2,998","3,404","3,633","3,456"
Hawaii,351,296,223,154,187,142,177,247,290,278
Idaho,389,334,278,328,322,318,390,287,532,557
Illinois,"2,953","3,151","2,813","2,988","2,903","2,806","2,966","2,848","2,710","2,767"
Indiana,"3,192","2,886","2,451","2,437","2,731","2,965","3,773","4,418","4,778","4,302"
Iowa,"1,068","1,088",961,964,"1,050","1,014","1,111","1,137","1,206","1,358"
Kansas,"1,825","1,817","1,853","1,843","2,116","2,340","2,392","2,583","2,616","2,376"
Kentucky,"1,951","1,918","1,999","2,224","2,420","2,579","2,606","2,695","2,834","3,152"
Louisiana,"1,091","1,162","1,089",961,"1,033","1,220","1,297","1,378","1,395","1,337"
Maine,575,511,480,564,590,666,647,576,482,510
Maryland,883,772,559,498,464,508,468,481,385,370
Massachusetts,"2,758","2,675","2,469","2,492","2,771","3,051","3,481","3,656","3,382","3,646"
Michigan,"5,235","4,237","3,586","3,337","3,457","3,408","3,416","3,646","3,898","3,818"
Minnesota,"1,074","1,143","1,191","1,219","1,188","1,285","1,541","1,990","2,026","1,951"
Mississippi,843,880,955,"1,000","1,184","1,437","1,553","1,867","1,730","1,610"
Missouri,"1,992","2,056","2,067","2,162","2,325","2,513","2,584","2,825","2,783","2,745"
Montana,495,460,403,498,587,580,633,831,977,"1,018"
Nebraska,768,831,904,705,692,709,715,771,817,689
Nevada,"2,094","1,970","1,880","1,957","2,067","1,999","1,619","1,672","1,664","1,667"
New Hampshire,227,167,182,189,167,177,168,214,270,253
New Jersey,"2,464","2,294","2,227","2,443","2,593","2,698","2,567","2,479","2,267","1,895"
New Mexico,777,786,834,880,990,"1,134","1,263","1,424","1,205","1,194"
New York,"6,603","6,417","6,061","5,843","5,463","5,271","4,832","4,578","4,233","3,806"
North Carolina,"2,427","2,234","2,071","2,172","2,416","2,739","2,943","2,929","2,819","2,861"
North Dakota,227,230,211,237,262,296,355,396,429,421
Ohio,"3,013","2,789","2,655","2,976","2,942","3,010","3,201","3,373","3,579","3,677"
Oklahoma,"2,869","2,961","2,805","3,238","3,973","4,288","4,366","4,075","4,018","3,787"
Oregon,"1,827","1,830","1,873","1,854","1,897","1,757","1,666","1,613","1,792","1,657"
Pennsylvania,"2,909","2,066","1,924","1,909","1,896","2,425","3,092","3,711","3,763","3,411"
Rhode Island,309,267,222,250,212,303,296,317,316,358
South Carolina,"1,699","1,415","1,336","1,226","1,211","1,213","1,344","1,470","1,591","1,568"
South Dakota,418,376,397,354,336,308,361,365,371,396
Tennessee,789,792,949,"1,077","1,178","1,268","1,301","1,322","1,625","1,743"
Texas,"13,108","13,481","13,154","12,991","13,238","12,643","12,377","13,443","13,822","12,932"
Utah,553,567,570,612,629,594,630,802,728,684
Vermont,180,196,226,213,232,304,387,329,324,331
Virginia,"1,562","1,372","1,519","1,503","1,532","1,708","1,886","1,826","1,766","1,934"
Washington,"3,089","2,783","2,860","3,101","3,213","3,075","3,278","3,569","3,733","3,478"
West Virginia,"1,241","1,474","1,407","1,364","1,388","1,456","2,147","2,403","2,376","2,577"
Wisconsin,"1,159","1,163","1,129","1,153","1,148","1,267","1,389","1,397","1,404","1,537"
Wyoming,111,130,115,85,81,69,61,69,122,155
Puerto Rico*,---,---,---,---,---,---,---,---,---,---
Total,"108,124","104,466","99,557","102,011","105,948","109,776","116,391","123,450","125,285","122,216"
"*The Department has requested Puerto Rico resubmit their AFCARS data; therefore, PR data are excluded from this table.",,,,,,,,,,
